thing,ts,prop_rssi,prop_temp,prop_ojfawje,prop_waterheater,prop_hvac,prop_main,prop_office,prop_other,prop_refrigerator,loc_lat,loc_lng,loc_heading,loc_speed,loc_corrId,loc_streetNumber,loc_street,loc_city,loc_state,loc_zipCode,loc_country,attr_m2x_deviceid
homepower,1.423522144202E9,null,null,null,0.0,3.0,1131.0,253.0,516.0,363.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524981697E9,null,null,null,0.0,3.0,698.0,284.0,352.0,5.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522022204E9,null,null,null,0.0,1950.0,2534.0,253.0,371.0,3.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523861691E9,null,null,null,0.0,3.0,642.0,253.0,460.0,8.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524621692E9,null,null,null,0.0,3.0,852.0,284.0,352.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522084202E9,null,null,null,0.0,3.0,630.0,253.0,375.0,3.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523441691E9,null,null,null,0.0,3.0,607.0,253.0,343.0,4.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523481693E9,null,null,null,0.0,3.0,716.0,253.0,343.0,3.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423524221692E9,null,null,null,0.0,1949.0,2528.0,284.0,95.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522523705E9,null,null,null,4315.0,5.0,5142.0,253.0,451.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522901698E9,null,null,null,4092.0,3.0,773.0,253.0,451.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523083691E9,null,null,null,0.0,3.0,711.0,253.0,343.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523881694E9,null,null,null,0.0,3.0,642.0,253.0,381.0,7.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423522162202E9,null,null,null,0.0,3.0,764.0,253.0,516.0,137.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
homepower,1.423523541692E9,null,null,null,0.0,3.0,716.0,253.0,460.0,5.0,null,null,null,null,null,null,null,null,null,null,null,004f7ce26058e4463f710ead9f97cfe3
